                                        	0000	T	FS00                                                                                                                                	
SAPLGL_ACCOUNT_MASTER_MAINTAIN          	2001	X	                                                                                                                                    	
                                        	0000	 	BDC_OKCODE                                                                                                                          	=%_GC 154 1
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLGL_ACCOUNT_MASTER_MAINTAIN          2011HEADER
                                        	0000	 	BDC_CURSOR                                                                                                                          	GLACCOUNT_SCREEN_KEY-SAKNR
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLATAB                                0100TABSTRIP
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLATAB                                0200SUBSC
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLGL_ACCOUNT_MASTER_MAINTAIN          2102AREA1
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLGL_ACCOUNT_MASTER_MAINTAIN          2101AREA2
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLGL_ACCOUNT_MASTER_MAINTAIN          2103AREA3
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLATAB                                0300AREA4
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLATAB                                0300AREA5
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLATAB                                0300AREA6
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLATAB                                0300AREA7
SAPLSPO4                                	0300	X	                                                                                                                                    	
                                        	0000	 	BDC_CURSOR                                                                                                                          	SVALD-VALUE(01)
                                        	0000	 	BDC_OKCODE                                                                                                                          	=FURT
                                        	0000	 	SVALD-VALUE(01)                                                                                                                     	24620003
SAPLGL_ACCOUNT_MASTER_MAINTAIN          	2001	X	                                                                                                                                    	
                                        	0000	 	BDC_OKCODE                                                                                                                          	=2102_GROUP
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLGL_ACCOUNT_MASTER_MAINTAIN          2011HEADER
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLATAB                                0100TABSTRIP
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLATAB                                0200SUBSC
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLGL_ACCOUNT_MASTER_MAINTAIN          2102AREA1
                                        	0000	 	BDC_CURSOR                                                                                                                          	GLACCOUNT_SCREEN_COA-KTOKS
